name,host_id,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,country,country_code,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review
Cozy Room With Access to Two Full Bathrooms,30866721235,verified,Austin,Brooklyn,Bedford-Stuyvesant,40.68465,-73.93847,United States,US,0,flexible,Private room,2005,433.0,87.0,2.0,62.0,2019-06-28
Agate Bedroom,205209506,unconfirmed,Melissa,Brooklyn,Bedford-Stuyvesant,40.69448,-73.95696,United States,US,1,moderate,Private room,2012,781.0,156.0,2.0,20.0,2019-06-12
Big beautiful room with tons of sunlight,41166609380,unconfirmed,Blaine,Brooklyn,Bushwick,40.69695,-73.92268,United States,US,0,moderate,Private room,2018,382.0,76.0,28.0,1.0,2018-10-31
★SPRING/ SUMMER SALE ALERT★ 10 MIN TO TIMES SQUARE,78247653608,verified,William,Manhattan,Hell's Kitchen,40.76511,-73.98714,United States,US,1,strict,Entire home/apt,2022,709.0,142.0,2.0,19.0,2019-06-01
Top Luxury NYC EmpireSt View 3BR/2BA w/Terrace+Gym,74269087156,verified,Lea,Manhattan,Kips Bay,40.74487,-73.97608,United States,US,1,moderate,Entire home/apt,2013,101.0,20.0,5.0,1.0,2018-09-14
"Authentic, Traditional NYC -  Walk to Times Square",34523606682,verified,John,Manhattan,Hell's Kitchen,40.76543,-73.98871,United States,US,1,strict,Entire home/apt,2009,1025.0,205.0,2.0,28.0,2019-06-07
Spacious room in Brooklyn by the subway!,58755060789,unconfirmed,ZhongJei,Brooklyn,Borough Park,40.64423,-73.99686,United States,US,1,flexible,Private room,2017,583.0,117.0,3.0,1.0,2019-06-03
Cozy Room In Brooklyn,292606012,verified,Qusuquzah,Brooklyn,Cypress Hills,40.68064,-73.88285,United States,US,0,moderate,Private room,2017,875.0,175.0,2.0,5.0,2019-05-19
Fresh room w/ skyline view in heart of Bushwick,29738618107,verified,Michael,Brooklyn,Bushwick,40.70706,-73.9201,United States,US,0,flexible,Private room,2013,993.0,199.0,3.0,7.0,2019-06-11
CORNER SUITE HIGH CELING in a Luxury Building,50468787550,unconfirmed,Teresa,Manhattan,Hell's Kitchen,40.7603,-73.98822,United States,US,0,flexible,Private room,2015,411.0,82.0,5.0,13.0,2019-06-23
Brand new independent one bedroom apartment,34991252604,unconfirmed,Chang,Queens,Flushing,40.73736,-73.80071,United States,US,0,strict,Entire home/apt,2003,169.0,34.0,1.0,86.0,2019-06-24
Shared Loft in Charming Guest Suite (Front Right),37584094160,verified,Nina,Staten Island,Clifton,40.61672,-74.0855,United States,US,0,moderate,Shared room,2009,383.0,77.0,2.0,1.0,2018-09-04
"Nice, clean and large room. Peaceful place",55230224515,unconfirmed,Antonio,Queens,Long Island City,40.7544,-73.93314,United States,US,0,strict,Private room,2008,384.0,77.0,3.0,25.0,2019-06-24
West Village Prime Location Light and Chic,12039096446,unconfirmed,Cate,Manhattan,West Village,40.73723,-74.00845,United States,US,0,strict,Entire home/apt,2012,185.0,37.0,1.0,8.0,2019-05-07
Shared Loft in Charming Guest Suite (Rear),54646711582,verified,Nina,Staten Island,Clifton,40.61575,-74.08658,United States,US,1,moderate,Shared room,2014,680.0,136.0,2.0,0.0,
Comfortable 2 bedroom apt in Times Square 5ppl,15359466979,verified,Georgian,Manhattan,Hell's Kitchen,40.75885,-73.98996,United States,US,1,moderate,Entire home/apt,2005,628.0,126.0,1.0,63.0,2019-06-27
Sunny Brooklyn Apartment With Private Terrace,80322393356,verified,Sam,Brooklyn,Bedford-Stuyvesant,40.69164,-73.93431,United States,US,1,strict,Entire home/apt,2018,359.0,72.0,3.0,3.0,2018-09-25
Cheap and Worth it!,78681580010,unconfirmed,Rafael,Queens,Elmhurst,40.74038,-73.87381,United States,US,1,flexible,Private room,2008,1141.0,228.0,1.0,24.0,2019-02-02
Comfortable Carroll Gardens 2 BR Amazing Location,68930763607,verified,David,Brooklyn,Carroll Gardens,40.6798,-73.99272,United States,US,0,strict,Entire home/apt,2009,936.0,187.0,2.0,7.0,2019-07-06
"Lovely Room in Sunnsyide, 15 min ride to Manhattan",83228091963,unconfirmed,Kazuya,Queens,Sunnyside,40.73759,-73.92127,United States,US,1,moderate,Private room,2009,422.0,84.0,30.0,3.0,2019-05-10
A Nice and Warm Place to Stay in Sunnyside!,76784580990,unconfirmed,Kazuya,Queens,Sunnyside,40.73919,-73.92004,United States,US,1,moderate,Private room,2020,572.0,114.0,30.0,2.0,2019-06-23
"Private Guest Suite Close To Ferry, Colleges, RUMC",70376560547,unconfirmed,Carrie,Staten Island,Tompkinsville,40.63482,-74.095,United States,US,0,flexible,Entire home/apt,2003,895.0,179.0,2.0,13.0,2019-06-16
Bushwick Oasis | Gorgeous View,16774735562,verified,Yuting,Brooklyn,Bushwick,40.69431,-73.92247,United States,US,1,flexible,Private room,2018,681.0,136.0,1.0,68.0,2019-07-06
"J- LUXURY SHARED ROOM, AC FREE WIFI+CABLE GARDEN",22313059873,unconfirmed,Nikole,Queens,South Ozone Park,40.67172,-73.79669,United States,US,0,flexible,Shared room,2015,778.0,156.0,4.0,4.0,2019-05-01
"J- *LUXURY SHARED ROOM AC FREE WIFI CABLE, GARDEN",64222237910,unconfirmed,Nikole,Queens,South Ozone Park,40.6726,-73.79566,United States,US,1,strict,Shared room,2012,403.0,81.0,5.0,1.0,2018-09-30
Modern chic studio in luxury building,50878695489,unconfirmed,Camilla,Brooklyn,Bedford-Stuyvesant,40.69217,-73.95837,United States,US,0,moderate,Entire home/apt,2006,881.0,176.0,4.0,3.0,2018-12-01
Private/Relaxing Queen PopUp bed 30min2timessqr,97701376370,unconfirmed,Noah,Manhattan,Inwood,40.86524,-73.92195,United States,US,0,moderate,Private room,2019,566.0,113.0,1.0,12.0,2019-02-08
1BR/Studio Superb for a professional (Hidden by Airbnb) Home,3840266225,verified,H,Manhattan,Hell's Kitchen,40.75435,-73.99744,United States,US,1,flexible,Entire home/apt,2019,853.0,171.0,4.0,6.0,2019-04-07
Isaac apartament,37572930725,verified,Juan,Manhattan,East Harlem,40.79236,-73.94689,United States,US,1,moderate,Entire home/apt,2009,283.0,57.0,1.0,1.0,2019-01-02
The Space in Brooklyn,84917345370,unconfirmed,Frederick,Brooklyn,Crown Heights,40.66472,-73.92871,United States,US,1,flexible,Private room,2015,255.0,51.0,1.0,0.0,
Large Lux Apt with Amazing NYC Views - Location!,68773856381,unconfirmed,Raul,Manhattan,Kips Bay,40.74371,-73.97946,United States,US,1,moderate,Entire home/apt,2014,580.0,116.0,3.0,3.0,2019-01-01
Times Square Apartment,71142746353,unconfirmed,Will,Manhattan,Hell's Kitchen,40.76228,-73.99027,United States,US,1,moderate,Entire home/apt,2005,163.0,33.0,3.0,25.0,2019-07-01
"Free Cleaning & WiFi, Young Professional Roommates",38231776945,unconfirmed,Marie & Tyler,Brooklyn,Bushwick,40.70466,-73.92553,United States,US,1,flexible,Private room,2006,136.0,27.0,30.0,1.0,2018-10-31
"Comfort Beds 4 mins to 2,5,3 4,trains to Manhattan",53410349086,verified,Sasha,Brooklyn,East Flatbush,40.65562,-73.93952,United States,US,0,flexible,Private room,2018,245.0,49.0,3.0,3.0,2019-05-05
"30+ Day Stay-2000 sq ft Guest House, Deck, Rooftop",38090257888,verified,Ali,Queens,Flushing,40.757,-73.80927,United States,US,1,strict,Entire home/apt,2021,359.0,72.0,6.0,0.0,
"Spacious, Private LIC Studio 2 Blocks to Train!",53467726398,verified,Cassidy,Queens,Sunnyside,40.74375,-73.91563,United States,US,0,strict,Entire home/apt,2014,671.0,134.0,2.0,0.0,
Welcome Home To Ridgewood!,50985804096,verified,Alejandro,Queens,Ridgewood,40.70724,-73.91268,United States,US,1,flexible,Entire home/apt,2015,191.0,38.0,1.0,94.0,2019-07-07
Huge West Village Loft in Luxury Building,59652187217,verified,Dylan,Manhattan,West Village,40.73241,-74.00722,United States,US,0,moderate,Entire home/apt,2011,810.0,162.0,6.0,2.0,2018-12-30
"352 Prospect pl, 1st floor",94013356719,unconfirmed,Allam,Brooklyn,Prospect Heights,40.67769,-73.96548,United States,US,0,moderate,Entire home/apt,2019,232.0,46.0,15.0,2.0,2018-11-03
Modern Luxury Studio in Heart of Astoria,32823510943,verified,Roger,Queens,Astoria,40.76836,-73.91405,United States,US,0,strict,Entire home/apt,2008,185.0,37.0,5.0,28.0,2019-06-29
Private Room in Prospect Place,12368314946,verified,Nishant,Brooklyn,Prospect Heights,40.67893,-73.97113,United States,US,1,moderate,Private room,2003,399.0,80.0,16.0,0.0,
Charming room in upper Manhattan,53269829348,verified,Rachel Leigh,Manhattan,Harlem,40.82867,-73.94561,United States,US,1,flexible,Private room,2015,1048.0,210.0,1.0,28.0,2019-06-27
Prospect Suite,38413167326,unconfirmed,Jessica,Brooklyn,Prospect Heights,40.67752,-73.96977,United States,US,1,moderate,Private room,2011,554.0,111.0,2.0,16.0,2019-06-04
New Large Luxury Residence in Manhattan,24718216883,verified,Justin,Manhattan,Hell's Kitchen,40.75525,-73.99597,United States,US,0,moderate,Entire home/apt,2017,811.0,162.0,3.0,4.0,2019-03-26
QUIET MASTER BEDROOM,72619633875,unconfirmed,Maria C.,Brooklyn,Bushwick,40.68636,-73.91331,United States,US,0,strict,Private room,2009,931.0,186.0,3.0,1.0,2018-09-11
Sunny room in Park Slope with air mattress,14102494658,verified,Nicole,Brooklyn,Park Slope,40.6715,-73.98451,United States,US,1,moderate,Private room,2005,554.0,111.0,1.0,1.0,2018-09-15
Sunnyside's beauty,41213384618,verified,Sammy,Queens,Sunnyside,40.7441,-73.92153,United States,US,0,strict,Entire home/apt,2020,197.0,39.0,2.0,31.0,2019-06-25
Garden Oasis,88919906566,verified,Lou,Manhattan,East Village,40.72795,-73.97768,United States,US,1,flexible,Entire home/apt,2011,907.0,181.0,2.0,2.0,2019-01-02
Amazing Large Sunny Studio in Greenwich Village,76164881749,unconfirmed,Shaun,Manhattan,West Village,40.73765,-74.00157,United States,US,0,flexible,Entire home/apt,2009,144.0,29.0,30.0,11.0,2019-06-26
Beautiful Historic Home in Brooklyn,80246971355,verified,Caroline,Brooklyn,Prospect-Lefferts Gardens,40.66318,-73.95372,United States,US,1,flexible,Entire home/apt,2008,694.0,139.0,1.0,2.0,2018-10-02
Ideal New York Apartment,53004566266,unconfirmed,Stephanie,Manhattan,East Village,40.7249,-73.98026,United States,US,1,moderate,Entire home/apt,2014,739.0,148.0,2.0,5.0,2019-06-11
Cozy flat with back Patio,82836062683,unconfirmed,Philmore,Brooklyn,Canarsie,40.64693,-73.89537,United States,US,0,strict,Entire home/apt,2013,954.0,191.0,5.0,0.0,
"Spread Love, It's the Brooklyn Way!",42137527235,unconfirmed,Taitu,Brooklyn,Midwood,40.61559,-73.9496,United States,US,0,moderate,Entire home/apt,2003,732.0,146.0,2.0,1.0,2019-01-01
Spacious Room in Murray Hill,53838357833,verified,Piyush,Manhattan,Kips Bay,40.74336,-73.97628,United States,US,1,strict,Private room,2022,1031.0,206.0,20.0,1.0,2018-09-28
Spacious Deco Apt.- Columbus Circle,55635025404,unconfirmed,Alexis,Manhattan,Hell's Kitchen,40.76708,-73.98295,United States,US,1,moderate,Private room,2009,167.0,33.0,6.0,4.0,2019-01-01
"Upper Manhattan room like a studio ""White room""",48744035651,verified,Maribel,Manhattan,Washington Heights,40.84536,-73.93564,United States,US,1,strict,Private room,2003,689.0,138.0,6.0,5.0,2019-06-09
Luxury apartment close to Empire State Building,33111483341,verified,Panos,Manhattan,Midtown,40.74404,-73.98263,United States,US,0,flexible,Entire home/apt,2005,176.0,35.0,5.0,5.0,2018-12-09
Bedroom on UES,75682068715,verified,Ahmet,Manhattan,Upper East Side,40.77353,-73.95357,United States,US,1,moderate,Private room,2012,476.0,95.0,3.0,10.0,2019-06-09
Large Bedroom Steps from Subway (Ground Flr Room),19126731430,verified,Lee And Teri,Brooklyn,Flatbush,40.64184,-73.9642,United States,US,0,moderate,Private room,2020,1095.0,219.0,2.0,42.0,2019-06-08
Huge 1 bedroom in Williamsburg for Travelers,24506414242,verified,Philip,Brooklyn,Williamsburg,40.71012,-73.9595,United States,US,0,strict,Entire home/apt,2018,214.0,43.0,5.0,5.0,2019-05-30
Beautiful 2 Bedroom Apartment Near LGA and City,41283509841,verified,Farhan,Queens,East Elmhurst,40.76708,-73.8795,United States,US,1,flexible,Entire home/apt,2005,242.0,48.0,1.0,52.0,2019-06-21
A Charming Hideout for a perfect weekend,39601676443,verified,Vanessa,Brooklyn,East Flatbush,40.64557,-73.94684,United States,US,0,strict,Entire home/apt,2011,619.0,124.0,1.0,14.0,2019-02-24
"Clean, Modern Studio. First floor access! #10292",97580366005,verified,Jason,Manhattan,Upper East Side,40.77936,-73.9518,United States,US,0,strict,Entire home/apt,2015,1059.0,212.0,2.0,41.0,2019-06-28
A cozy quiet 1-bedroom with a balcony in Astoria,19934838039,unconfirmed,Igor,Queens,Astoria,40.76255,-73.91934,United States,US,0,flexible,Entire home/apt,2012,902.0,180.0,6.0,2.0,2018-11-21
Your Home Next to the Empire State Building,15859167235,verified,Tassie,Manhattan,Murray Hill,40.74628,-73.97899,United States,US,0,moderate,Entire home/apt,2005,387.0,77.0,2.0,11.0,2019-06-30
Heights,22386693887,verified,Candace,Brooklyn,East Flatbush,40.66184,-73.93436,United States,US,1,moderate,Private room,2008,949.0,190.0,1.0,2.0,2019-05-19
"Private, spacious home in Central Brooklyn!",43146418879,unconfirmed,Sarah,Brooklyn,Crown Heights,40.67672,-73.94934,United States,US,0,moderate,Entire home/apt,2013,666.0,133.0,2.0,3.0,2018-12-28
Modern Sunlit Brooklyn Apartment,1520800815,unconfirmed,Kevin,Brooklyn,Bedford-Stuyvesant,40.67856,-73.94483,United States,US,0,flexible,Private room,2009,487.0,97.0,2.0,11.0,2019-05-05
Warm & Cozy Room in Sunnyside. Awesome Location!,21554939723,unconfirmed,Kazuya,Queens,Sunnyside,40.73703,-73.92179,United States,US,0,strict,Private room,2013,1060.0,212.0,30.0,0.0,
1BR Central park apartment with lots of sunshine!,7221340363,verified,Kazuya,Manhattan,East Harlem,40.79422,-73.94421,United States,US,0,strict,Entire home/apt,2008,1100.0,220.0,30.0,3.0,2019-03-31
Fanta Sea Home 3,91497031075,unconfirmed,Jewell,Brooklyn,Brownsville,40.66339,-73.91671,United States,US,1,moderate,Private room,2010,1172.0,234.0,4.0,5.0,2019-06-10
Mercedes-Benz Home | Dinner for 50+ | Private Chef,43144938311,verified,5 Star Stays,Brooklyn,Prospect-Lefferts Gardens,40.66178,-73.9505,United States,US,0,flexible,Entire home/apt,2012,312.0,62.0,1.0,76.0,2019-07-07
Rare Downtown First Floor Apt w Private Backyard,29742719542,unconfirmed,Nicolas,Manhattan,Gramercy,40.7358,-73.9806,United States,US,0,strict,Entire home/apt,2018,764.0,153.0,3.0,6.0,2019-05-28
Queens Jazz Home (JW),45699693971,verified,Kyle,Queens,St. Albans,40.69548,-73.77436,United States,US,1,flexible,Private room,2017,296.0,59.0,2.0,1.0,2018-12-31
Comfortable New York City Apartment,91952706025,verified,Mira,Manhattan,Washington Heights,40.85461,-73.92668,United States,US,0,moderate,Entire home/apt,2003,377.0,75.0,4.0,6.0,2019-06-19
Central Park master room with private bathroom.,19222998869,unconfirmed,Judy,Manhattan,East Harlem,40.78807,-73.93988,United States,US,1,flexible,Private room,2006,915.0,183.0,1.0,20.0,2019-06-02
Beautiful 4BDR Unit @Greenpoint 2stop to Manhattan,83473548210,verified,Selina,Brooklyn,Greenpoint,40.72625,-73.95578,United States,US,1,strict,Entire home/apt,2021,205.0,41.0,1.0,11.0,2019-06-12
Private Bedroom B in Bushwick Minutes from Subways,30569867350,unconfirmed,Ariel,Brooklyn,Bushwick,40.68993,-73.91139,United States,US,1,flexible,Private room,2016,531.0,106.0,2.0,32.0,2019-06-17
Beautiful Bedroom in Brooklyn Apt,42379406101,verified,Amaru,Brooklyn,Flatbush,40.63621,-73.95252,United States,US,1,strict,Private room,2008,1005.0,201.0,3.0,17.0,2019-06-29
Cozy 2 bedroom NYC apartment near LGA Airport,58260932079,verified,Kenny,Queens,East Elmhurst,40.76248,-73.86986,United States,US,1,flexible,Private room,2004,178.0,36.0,1.0,52.0,2019-03-30
Bedroom in a charming apartment near Prospect Park,39716343211,verified,Gabrielle,Brooklyn,Kensington,40.64349,-73.9738,United States,US,1,moderate,Private room,2020,437.0,87.0,3.0,20.0,2019-06-30
"Staten Island Gem,  4 bedroom duplex in St. George",16645855205,verified,Rafael,Staten Island,Stapleton,40.63556,-74.07623,United States,US,0,moderate,Entire home/apt,2017,1040.0,208.0,2.0,27.0,2019-07-01
Entire House For Rent In Brooklyn NY.,6442817972,verified,Cebile,Brooklyn,Sheepshead Bay,40.60766,-73.95384,United States,US,0,strict,Entire home/apt,2008,151.0,30.0,1.0,23.0,2019-06-25
Private Room in Luxury BK Apartment,29544323708,verified,Mayda,Brooklyn,Bushwick,40.6932,-73.90639,United States,US,0,moderate,Private room,2004,638.0,128.0,1.0,26.0,2019-05-23
"Artist retreat in East Williamsburg, Brooklyn",3090209037,verified,Gonzalo,Brooklyn,Williamsburg,40.71594,-73.94113,United States,US,1,strict,Entire home/apt,2013,233.0,47.0,2.0,2.0,2019-01-01
The Sweet Suite,55446279764,unconfirmed,Christine,Queens,Springfield Gardens,40.66207,-73.74986,United States,US,0,strict,Entire home/apt,2010,347.0,69.0,1.0,32.0,2019-06-24
"Convenient, shared-studio in LIC/Sunnyside",74033443502,verified,Cassidy,Queens,Sunnyside,40.74342,-73.91538,United States,US,0,strict,Shared room,2006,717.0,143.0,2.0,0.0,
Large bright bedroom near Bushwick,26010998655,verified,Kendra,Queens,Ridgewood,40.70476,-73.91111,United States,US,0,flexible,Private room,2021,1063.0,213.0,1.0,3.0,2018-09-08
Urban Oasis,34598428953,unconfirmed,Murtland,Queens,Jamaica,40.67091,-73.78204,United States,US,0,moderate,Entire home/apt,2009,978.0,196.0,3.0,24.0,2019-06-17
My wife is not used to the noisy environment. How,71931349560,verified,Jane,Manhattan,Financial District,40.70535,-74.01277,United States,US,1,moderate,Entire home/apt,2016,803.0,161.0,1.0,0.0,
Bedroom Two  in Private House Near JFK Airport,16315482554,verified,Cando,Queens,South Ozone Park,40.67296,-73.79658,United States,US,1,flexible,Private room,2013,1176.0,235.0,1.0,75.0,2019-07-05
Bedroom One In Private House Near JFK Airport,75014208440,verified,Cando,Queens,South Ozone Park,40.6718,-73.79719,United States,US,1,strict,Private room,2016,409.0,82.0,1.0,66.0,2019-07-02
Sunny&Quiet 1 Bed APT in central Greenwich Village,66434714315,verified,Christina,Manhattan,West Village,40.73011,-74.00198,United States,US,0,strict,Entire home/apt,2012,299.0,60.0,2.0,6.0,2019-07-07
"7BR, 4 Full Bath Duplex with Washer & Dryer",35735440409,unconfirmed,Lucy,Brooklyn,Crown Heights,40.66996,-73.94836,United States,US,0,strict,Entire home/apt,2019,1118.0,224.0,3.0,8.0,2019-05-20
J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE CABLE WIFI,27634145852,unconfirmed,Nikole,Queens,South Ozone Park,40.67324,-73.7957,United States,US,0,moderate,Shared room,2016,971.0,194.0,5.0,2.0,2019-02-23
Sunny room in Manhattan ☀️,43512013612,verified,Ziva,Manhattan,Upper East Side,40.76325,-73.95893,United States,US,0,flexible,Private room,2003,586.0,117.0,11.0,0.0,
J- **LUXURY SHARED ROOM 2PPL FREE WIFI+CABLE+AC,1796619657,verified,Nikole,Queens,South Ozone Park,40.67286,-73.79666,United States,US,1,flexible,Shared room,2006,924.0,185.0,5.0,1.0,2018-09-14
Chic sun-filled dream home in East Village,63280054286,verified,Jt,Manhattan,East Village,40.72744,-73.9831,United States,US,0,moderate,Entire home/apt,2006,558.0,112.0,3.0,4.0,2019-06-16
Central Park Getaway,27223323128,unconfirmed,Annie,Manhattan,Upper West Side,40.77727,-73.9795,United States,US,0,moderate,Entire home/apt,2010,442.0,88.0,1.0,76.0,2019-06-22
Heart of Bushwick! Women only,10376952537,verified,Clarissa,Brooklyn,Bushwick,40.70463,-73.92026,United States,US,1,moderate,Private room,2014,914.0,183.0,5.0,1.0,2018-09-04
Cozy Room in East Williamsburg Apartment,19631906411,unconfirmed,Amy,Brooklyn,Williamsburg,40.71311,-73.94036,United States,US,0,moderate,Private room,2007,920.0,184.0,2.0,1.0,2019-06-30
Private Bedroom with queen sized bed,42435729469,verified,Linda,Brooklyn,Borough Park,40.63989,-74.00321,United States,US,1,strict,Private room,2005,208.0,42.0,1.0,7.0,2019-02-16
Spacious bronx room for 1,95820483943,unconfirmed,Alexander,Bronx,Eastchester,40.88271,-73.83217,United States,US,0,moderate,Private room,2010,1027.0,205.0,1.0,0.0,
Bellrose  Home - 15 minutes from both NYC airports,90767151780,unconfirmed,Tamara,Queens,Bellerose,40.72908,-73.72778,United States,US,0,flexible,Private room,2015,864.0,173.0,3.0,7.0,2019-05-31
"Huge room in great area, 25 minutes from Manhattan",14887940979,unconfirmed,Daphna,Queens,Woodside,40.74588,-73.89721,United States,US,1,moderate,Private room,2005,790.0,158.0,4.0,4.0,2018-12-14
West Village Mid Century Studio Perfect for Two,60132210413,unconfirmed,Jose,Manhattan,West Village,40.73861,-74.00467,United States,US,1,strict,Entire home/apt,2004,682.0,136.0,3.0,7.0,2018-11-24
LaGuardia Private 3 Bedrooms Appartment for 6 Pax,11029717386,unconfirmed,Kais,Queens,Ditmars Steinway,40.77224,-73.89295,United States,US,0,flexible,Private room,2021,1176.0,235.0,1.0,5.0,2019-06-08
CUTE APARTMENT WALKING DISTANCE TO NYC BEST SPOTS,64136350409,verified,Leah,Manhattan,Hell's Kitchen,40.75622,-73.99405,United States,US,1,strict,Private room,2019,1097.0,219.0,1.0,12.0,2019-05-06
Roomy and Relaxing Brooklyn Apartment,27686783904,verified,Nutrice,Brooklyn,Prospect-Lefferts Gardens,40.6556,-73.95286,United States,US,0,moderate,Entire home/apt,2010,775.0,155.0,2.0,51.0,2019-07-06
Best of Williamsburg,26518232906,unconfirmed,Michael,Brooklyn,Williamsburg,40.71119,-73.94349,United States,US,0,flexible,Private room,2018,700.0,140.0,30.0,0.0,
"Industrial Chic, Owners Suite",23373505790,verified,Vaughn,Brooklyn,East Flatbush,40.65943,-73.91939,United States,US,1,moderate,Entire home/apt,2019,206.0,41.0,2.0,45.0,2019-07-03
"Private Apartment: Brooklyn, NYC 40 Min to City",3191763532,verified,Lili,Brooklyn,Midwood,40.62588,-73.96396,United States,US,1,moderate,Entire home/apt,2004,270.0,54.0,2.0,26.0,2019-06-24
Exposed Brick Bushwick Bedroom,14452698525,unconfirmed,Jordan,Brooklyn,Williamsburg,40.70612,-73.92725,United States,US,1,moderate,Private room,2017,1153.0,231.0,2.0,6.0,2019-05-19
Luxury 1BR 2 bed; no cleanup fee; fast response!,73159881217,unconfirmed,Ricky,Manhattan,Financial District,40.70402,-74.00964,United States,US,1,moderate,Private room,2004,203.0,41.0,1.0,17.0,2019-06-25
Very large room near CUMC,78570499384,verified,Mike,Manhattan,Washington Heights,40.84519,-73.941,United States,US,0,moderate,Private room,2008,592.0,118.0,1.0,3.0,2019-06-20
Small room near Columbia Uni med,28592598844,unconfirmed,Mike,Manhattan,Washington Heights,40.84521,-73.9416,United States,US,0,strict,Private room,2017,378.0,76.0,1.0,3.0,2019-05-22
Manhattan Townhouse,58409896174,verified,David,Manhattan,Kips Bay,40.74123,-73.97559,United States,US,1,flexible,Private room,2022,327.0,65.0,2.0,17.0,2019-07-01
Private Room in a Bushwick Retreat,95325423855,verified,Morgan,Brooklyn,Bushwick,40.69938,-73.93342,United States,US,0,strict,Private room,2018,581.0,116.0,1.0,75.0,2019-07-01
Astoria Room,68025783690,verified,Martin & Soledad,Queens,Astoria,40.77194,-73.92985,United States,US,1,moderate,Private room,2016,431.0,86.0,1.0,41.0,2019-07-01
Sunny apartment in historic tenement building,54824693917,unconfirmed,Giraud,Manhattan,Lower East Side,40.71823,-73.98537,United States,US,0,flexible,Entire home/apt,2006,824.0,165.0,5.0,20.0,2019-06-30
"Comfy, Convenient, & Private Rm In Manhattan NYC",98755572183,verified,Seyoum,Manhattan,Washington Heights,40.85053,-73.93027,United States,US,0,moderate,Private room,2015,793.0,159.0,2.0,28.0,2019-06-30
Brooklyn Serene Bedrooms,21231420773,verified,Florence,Brooklyn,Gowanus,40.68255,-73.98911,United States,US,1,strict,Entire home/apt,2016,389.0,78.0,5.0,25.0,2019-06-30
Creative open floor studio,54420898863,unconfirmed,Ashley,Brooklyn,Bedford-Stuyvesant,40.68476,-73.9548,United States,US,0,flexible,Entire home/apt,2021,790.0,158.0,3.0,2.0,2019-01-14
Cozy and affordable,41353615097,unconfirmed,Yulia,Brooklyn,Bedford-Stuyvesant,40.69371,-73.94449,United States,US,0,flexible,Private room,2007,395.0,79.0,4.0,52.0,2019-06-25
Crown Heights Gem Easy Access to ALL,71132650503,unconfirmed,Deloris,Brooklyn,Crown Heights,40.66818,-73.95529,United States,US,1,strict,Entire home/apt,2022,706.0,141.0,2.0,13.0,2019-06-23
"Home away from home
& (QTPOC artistic safe space)",47535725496,unconfirmed,Naomi,Brooklyn,Bedford-Stuyvesant,40.68696,-73.94391,United States,US,0,strict,Private room,2003,978.0,196.0,1.0,27.0,2019-06-22
Big Apt in Luxury High Rise Building - Location!,74521706987,unconfirmed,Raul,Manhattan,Kips Bay,40.74365,-73.97928,United States,US,1,moderate,Entire home/apt,2013,251.0,50.0,3.0,0.0,
"New 4BR, 2Full Bath with Washer & Dryer",29088184219,verified,Lucy,Brooklyn,Crown Heights,40.6697,-73.94919,United States,US,1,flexible,Entire home/apt,2007,544.0,109.0,3.0,13.0,2019-06-16
Sophisticated 1BR in Sutton Place by Sonder,85450447737,unconfirmed,Sonder,Manhattan,Midtown,40.75522,-73.96444,United States,US,0,strict,Entire home/apt,2017,1143.0,229.0,29.0,0.0,
Private room + office in designer luxury penthouse,20761383699,unconfirmed,Charles,Manhattan,Flatiron District,40.73928,-73.98583,United States,US,0,moderate,Private room,2021,631.0,126.0,2.0,6.0,2018-12-02
"Bushwick Brownstone, Long-Term Stay",6153885605,unconfirmed,David,Brooklyn,Bedford-Stuyvesant,40.68252,-73.91467,United States,US,0,moderate,Private room,2004,318.0,64.0,4.0,0.0,
Brooklyn Artist/Designer/Photographer Loft,69159536369,verified,Shandor,Brooklyn,Fort Greene,40.69694,-73.97493,United States,US,1,flexible,Entire home/apt,2013,270.0,54.0,30.0,1.0,2018-10-13
*BEST DEAL*FURNISHED RM NEAR EMPIRE STATE BLDG*,89288110188,unconfirmed,Maria Luisa,Manhattan,Midtown,40.74517,-73.98924,United States,US,0,flexible,Private room,2005,277.0,55.0,30.0,0.0,
New york Multi-unit building,19293140288,verified,Maria,Brooklyn,Sheepshead Bay,40.59085,-73.95405,United States,US,1,moderate,Private room,2013,265.0,53.0,1.0,2.0,2018-11-03
Private Room in the heart of Manhattan,79768071323,unconfirmed,Elisabeth,Manhattan,Upper West Side,40.78089,-73.98406,United States,US,0,flexible,Private room,2003,921.0,184.0,1.0,8.0,2018-12-16
Brooklyn Prospect Park Parade Ground Standard,44491186336,unconfirmed,Sarahya,Brooklyn,Flatbush,40.64668,-73.9642,United States,US,0,flexible,Private room,2009,635.0,127.0,1.0,20.0,2019-06-22
Beautiful Spacious Shared Queens Apartment.,73528871714,unconfirmed,Joshua,Queens,Springfield Gardens,40.66684,-73.76645,United States,US,1,moderate,Shared room,2009,909.0,182.0,1.0,16.0,2019-06-23
Classic and Charming Upper West Side NYC Apt,34386249273,unconfirmed,Lenore,Manhattan,Upper West Side,40.78162,-73.9753,United States,US,1,flexible,Entire home/apt,2015,635.0,127.0,1.0,1.0,2018-09-02
